2025-06-02 19:44:39,664 | file_agent   | INFO     | Logging to file: /Users/vishesh/Documents/Github/DreamOS-Operating-System-of-Agents/dreamos/logs/file_agent_20250602_194439.log
2025-06-02 19:44:39,855 | file_agent   | INFO     | Initializing File Agent
2025-06-02 19:44:39,855 | file_agent   | DEBUG    | Using pseudo files path: ./dreamos/memory/pseudo_files.json
2025-06-02 19:44:39,855 | file_agent   | DEBUG    | Loading filesystem from ./dreamos/memory/pseudo_files.json
2025-06-02 19:44:39,855 | file_agent   | INFO     | Filesystem file not found at ./dreamos/memory/pseudo_files.json. Creating new one.
2025-06-02 19:44:39,855 | file_agent   | INFO     | Creating default filesystem
2025-06-02 19:44:39,856 | file_agent   | DEBUG    | Created default filesystem with 2 files
2025-06-02 19:44:39,856 | file_agent   | INFO     | Loaded virtual filesystem with 2 files
2025-06-02 19:45:24,660 | file_agent   | INFO     | Processing command: Read my todo list
2025-06-02 19:45:24,661 | file_agent   | INFO     | Listing all files
2025-06-02 19:45:24,661 | file_agent   | DEBUG    | Found 2 files
2025-06-02 19:45:24,661 | file_agent   | DEBUG    | Added additional context to command
2025-06-02 19:45:24,661 | file_agent   | DEBUG    | Sending command to LLM
2025-06-02 19:45:24,855 | file_agent   | INFO     | Command processed, response length: 107 chars
2025-06-02 19:45:31,348 | file_agent   | INFO     | Processing command: clear the todo list
2025-06-02 19:45:31,348 | file_agent   | INFO     | Listing all files
2025-06-02 19:45:31,348 | file_agent   | DEBUG    | Found 2 files
2025-06-02 19:45:31,348 | file_agent   | DEBUG    | Added additional context to command
2025-06-02 19:45:31,349 | file_agent   | DEBUG    | Sending command to LLM
2025-06-02 19:45:31,560 | file_agent   | INFO     | Command processed, response length: 95 chars
