2025-06-03 02:49:17,990 | terminal_agent | INFO     | Logging to file: /Users/vishesh/Documents/Github/DreamOS-Operating-System-of-Agents/dreamos/logs/terminal_agent_20250603_024917.log
2025-06-03 02:49:26,328 | terminal_agent | INFO     | Initializing Terminal Agent and sub-agents
2025-06-03 02:49:26,328 | terminal_agent | DEBUG    | Initializing File Agent
2025-06-03 02:49:26,329 | terminal_agent | DEBUG    | Initializing Memory Agent
2025-06-03 02:49:26,332 | terminal_agent | DEBUG    | Initializing Plugin Agent
2025-06-03 02:49:26,332 | terminal_agent | INFO     | Initializing Voice Interface
2025-06-03 02:49:26,922 | terminal_agent | INFO     | Voice Interface initialized successfully
2025-06-03 02:49:26,922 | terminal_agent | DEBUG    | Initializing Data Visualization Tool
2025-06-03 02:49:26,922 | terminal_agent | DEBUG    | Data Visualization Tool initialized successfully
2025-06-03 02:49:26,922 | terminal_agent | DEBUG    | Initializing Database Query Tool
2025-06-03 02:49:26,922 | terminal_agent | DEBUG    | Database Query Tool initialized successfully
2025-06-03 02:49:26,922 | terminal_agent | INFO     | Terminal Agent initialization complete
2025-06-03 02:49:32,973 | terminal_agent | INFO     | Processing command: 'Hi how are you'
2025-06-03 02:49:32,973 | terminal_agent | DEBUG    | Storing command in memory
2025-06-03 02:49:32,975 | terminal_agent | DEBUG    | Command stored in memory with ID: 83
2025-06-03 02:49:32,975 | terminal_agent | DEBUG    | Routing command to appropriate agent
2025-06-03 02:49:32,975 | terminal_agent | DEBUG    | Getting memory context for routing
2025-06-03 02:49:32,975 | terminal_agent | DEBUG    | Retrieving recent memories for context
2025-06-03 02:49:32,976 | terminal_agent | DEBUG    | Tools used in current session: None
2025-06-03 02:49:32,976 | terminal_agent | DEBUG    | Memory context created, length: 381 chars
2025-06-03 02:49:32,976 | terminal_agent | DEBUG    | Asking LLM to decide which agent should handle command
2025-06-03 02:49:33,541 | terminal_agent | DEBUG    | LLM agent decision: 'memory_agent'
2025-06-03 02:49:33,541 | terminal_agent | INFO     | Selected agent for handling: memory_agent
2025-06-03 02:49:33,541 | terminal_agent | DEBUG    | Delegating to Memory Agent
2025-06-03 02:49:33,752 | terminal_agent | DEBUG    | Agent response length: 88 chars
2025-06-03 02:49:33,752 | terminal_agent | INFO     | Command handled by memory_agent
2025-06-03 02:49:33,752 | terminal_agent | DEBUG    | Speaking response via voice interface
2025-06-03 02:49:33,753 | terminal_agent | DEBUG    | Storing response in memory
2025-06-03 02:49:33,757 | terminal_agent | DEBUG    | Response stored in memory with ID: 84
